location_name,wind_kph,humidity,precip_mm,temperature_celsius,comfortable_days
Mexico City,6.8,44,0.0,23.0,5
Palikir,6.8,94,0.01,26.0,1
Chi Chi Khvar,22.3,38,0.0,12.9,37
Monaco,19.1,73,0.0,20.0,33
Ulaanbaatar,11.2,50,0.0,9.0,13
Podgorica,6.8,78,0.0,23.0,28
Maputo,9.0,58,0.0,27.0,62
Windhoek,15.1,19,0.0,25.0,170
Yaren,9.0,37,0.0,28.0,21
Kathmandu,6.1,44,0.0,25.0,94
Amsterdam,20.2,88,0.86,16.0,33
Managua,6.8,84,1.42,30.0,139
Niamey,20.2,19,0.0,40.0,54
Abuja,4.7,56,0.0,30.2,11
Pyongyang,10.1,83,0.0,13.9,32
Skopje,3.6,64,0.0,21.0,25
Oslo,11.2,23,0.0,22.0,20
Muscat,6.1,37,0.0,35.0,54
Islamabad,11.2,25,0.0,31.3,50
National,6.5,44,0.0,32.9,148
Panama City,6.1,75,0.09,30.0,17
Port Moresby,3.6,100,0.01,25.0,17
Pasto,10.4,55,0.0,22.7,5
Lima,13.0,81,0.0,19.6,16
Warsaw,29.9,29,0.0,22.0,58
Lisbon,24.1,52,0.0,19.0,39
Doha,11.2,35,0.0,35.0,69
Bucharest,13.0,52,0.0,18.0,24
Moscow,22.0,37,0.0,20.0,65
Kigali,6.8,61,0.05,25.0,128
Basseterre,24.1,79,0.01,31.0,46
Castries,37.1,79,0.07,31.0,14
Kingstown,34.9,75,0.01,31.0,1
Apia,9.0,94,0.15,25.0,39
San Marino,15.1,56,0.0,21.0,29
Riyadh,19.1,12,0.0,34.0,50
Dakar,15.1,70,0.0,26.0,49
Belgrade,25.9,56,0.52,20.0,25
Victoria,6.1,84,0.05,28.0,1
Freetown,3.6,89,0.38,24.0,11
Singapore,3.6,89,0.52,28.0,1
Bratislava,15.1,94,0.41,13.0,25
Ljubljana,16.9,55,0.0,17.0,20
Honiara,7.2,86,0.0,25.7,2
Mogadishu,19.1,89,0.0,29.0,1
Pretoria,6.8,22,0.0,24.0,137
Seoul,4.0,82,0.0,16.0,31
Juba,11.5,8,0.0,37.9,88
Madrid,13.0,40,0.0,19.0,30
Khartoum,14.8,6,0.0,39.8,61
Paramaribo,20.5,90,1.13,26.5,89
Stockholm,16.9,32,0.0,20.0,41
Bern,11.2,55,0.04,16.0,23
Damascus,19.1,19,0.0,30.0,31
Dushanbe,11.2,54,0.01,25.0,49
Dodoma,10.1,48,0.0,23.0,58
Dili,8.6,74,0.0,25.0,56
Lom,28.1,63,0.0,16.0,12
Nuku`Aloia,3.6,100,0.34,23.0,115
Port Of Spain,11.2,94,0.02,27.0,48
Tunis,11.2,37,0.11,27.0,30
Ankara,13.0,39,0.01,24.0,35
Ashgabat,6.8,73,0.18,21.0,37
Kampala,13.0,74,0.0,25.0,63
Kyiv,11.5,59,0.0,16.4,44
Abu Dhabi,11.2,44,0.0,33.0,56
London,6.1,43,0.4,21.0,26
Montevideo,15.1,67,0.0,14.0,24
Tashkent,3.6,58,0.0,26.0,57
Port Vila,22.0,86,0.04,24.6,99
Caracas,9.0,79,0.71,30.0,49
Hanoi,16.9,84,0.56,27.0,47
Sanaa,25.2,30,0.0,24.9,217
Lusaka,9.4,41,0.0,20.9,127
Harare,7.2,38,0.0,20.4,182
Kabul,3.6,46,0.0,19.5,75
Tirana,16.9,51,1.41,27.0,29
Algiers,15.1,57,0.01,24.0,36
Andorra La Vella,16.9,42,0.03,13.0,40
Luanda,19.1,66,0.0,30.0,42
Saint John's,16.9,71,0.38,31.0,49
Buenos Aires,13.0,82,0.0,10.0,40
Yerevan,9.0,17,0.0,21.0,34
Vienna,22.0,60,0.11,21.0,26
Baku,11.2,59,0.0,16.0,33
Nassau,16.9,59,0.0,31.0,64
Manama,34.9,41,0.0,31.0,33
Dhaka,19.8,67,0.0,30.8,43
Bridgetown,37.1,59,0.04,33.0,9
Minsk,15.1,49,0.1,21.0,46
Brussels,9.0,73,1.63,18.0,23
Belmopan,11.2,84,0.0,31.0,60
Sarajevo,6.8,36,0.0,25.0,24
Gaborone,3.6,13,0.0,28.7,121
Bras,7.2,81,0.46,28.7,157
Sofia,3.6,44,0.0,24.0,22
Ouagadougou,5.4,22,0.0,40.7,55
Bujumbura,11.2,59,0.62,30.0,47
Ivory,19.4,56,0.24,26.4,70
Praia,41.0,54,0.0,27.0,77
Phnom Penh,3.6,75,0.06,31.0,2
Ottawa,9.0,88,0.35,18.0,14
Bangui,6.8,56,0.04,34.0,6
N'djamena,11.2,6,0.0,43.0,43
Santiago,3.6,75,0.0,5.0,2
Beijing,19.1,65,0.0,24.0,54
Bogot,6.8,61,0.0,22.6,30
Moroni,29.5,84,0.07,26.3,15
Brazzaville,15.1,47,0.0,34.0,25
San Juan,19.1,65,0.0,25.0,10
Zagreb,9.0,37,0.0,26.0,25
Havana,15.1,70,0.0,30.0,62
Nicosia,31.0,58,0.0,28.0,53
Prague,20.2,72,0.17,16.0,26
Kinshasa,15.1,47,0.0,34.0,26
Copenhagen,20.2,40,0.0,20.0,11
Roseau,6.1,41,0.3,34.0,26
Santo Domingo,9.0,79,0.0,29.0,99
Cairo,15.1,14,0.0,38.0,61
San Salvador,4.0,70,0.0,27.0,49
Malabo,9.0,84,0.06,30.0,4
Asmara,18.7,48,0.0,23.2,163
Tallinn,20.2,27,0.0,22.0,30
Mbabane,15.1,59,0.0,19.6,104
Addis Ababa,19.1,47,0.07,24.0,127
Suva,3.6,94,0.01,25.0,82
Helsinki,13.0,26,0.0,20.0,40
Paris,20.2,64,0.23,19.0,32
Libreville,9.0,84,0.02,29.0,4
Banjul,6.8,27,0.0,35.0,116
Tbilisi,29.9,32,0.0,19.0,42
Berlin,15.1,56,0.06,19.0,46
Accra,16.9,67,0.0,32.0,2
Athens,3.6,61,0.45,22.0,29
Saint George's,25.9,67,0.01,32.0,9
Guatemala City,3.6,69,0.0,24.0,12
Conakry,15.1,67,0.0,32.0,24
Bissau,3.6,31,0.0,38.0,112
Georgetown,15.1,75,1.24,30.0,62
Port-Au-Prince,20.2,63,0.0,31.0,29
Vatican City,11.2,44,0.0,25.0,41
Tegucigalpa,3.6,70,0.0,26.0,27
Budapest,9.0,50,0.0,22.0,32
New Delhi,11.2,15,0.0,41.0,77
Jakarta,11.2,74,0.76,28.0,1
Tehran,29.9,20,0.0,23.0,49
Baghdad,19.1,17,0.0,35.0,52
Dublin,16.9,77,0.02,16.0,2
Jerusalem,11.2,24,0.0,31.0,40
Rome,11.2,44,0.0,25.0,41
Tokyo,11.2,78,0.0,20.0,41
Amman,20.2,22,0.0,30.0,44
Astana,19.1,60,0.0,21.0,39
Nairobi,15.1,48,0.55,26.0,241
Kuwait City,20.2,12,0.0,36.1,53
Bishkek,7.6,82,0.09,15.0,49
Laos,7.2,93,0.14,20.3,28
Riga,13.0,47,0.0,23.0,46
Beirut,11.2,65,0.0,25.0,56
Maseru,19.4,21,0.0,22.1,118
Monrovia,19.1,67,0.19,32.0,2
Nan,6.1,67,0.0,32.0,17
Vaduz,3.6,53,0.93,20.0,39
Vilnius,16.9,49,0.04,21.0,51
Luxembourg,9.0,77,0.32,16.0,24
Antananarivo,13.0,73,0.22,21.0,98
Lilongwe,25.9,54,0.0,24.0,150
Kuala Lumpur,3.6,84,0.02,29.0,4
Bamako,3.6,30,0.0,39.0,81
Valletta,3.6,38,0.0,31.0,31
Nouakchott,20.9,54,0.0,25.1,81
Port Louis,15.1,74,0.0,25.0,100
Mexico City,6.8,53,0.0,20.0,5
Palikir,13.0,79,2.21,28.0,1
Chi Chi Khvar,23.0,41,0.0,16.3,37
Monaco,6.8,73,0.0,20.0,33
Ulaanbaatar,11.2,54,0.0,10.0,13
Podgorica,6.1,57,0.0,25.0,28
Rabat,19.1,49,0.0,21.0,81
Maputo,19.1,69,0.0,25.0,62
Windhoek,15.1,18,0.0,26.0,170
Yaren,19.1,51,0.0,28.0,21
Kathmandu,11.2,70,0.0,26.0,94
Amsterdam,13.0,50,0.01,22.0,33
Managua,11.2,79,0.0,29.0,139
Niamey,4.0,15,0.0,43.0,54
Abuja,13.0,63,0.0,33.0,11
Pyongyang,9.7,80,0.0,17.2,32
Skopje,6.1,58,0.03,27.0,25
Oslo,19.1,25,0.0,23.0,20
Muscat,6.1,20,0.0,38.0,54
Islamabad,13.3,28,0.0,32.4,50
